numero,ano,id_unidade_requisitante,nome_unidade_requisitante,id_unidade_custo,nome_unidade_custo,data_cadastro,valor,numero_alunos_beneficiados,status
190,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,2020-08-17,171.0,1,ENVIADA
189,2020,9238,PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA - FPG,9238,PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA - FPG,2020-08-14,1744.0,2,A_EMPENHAR
188,2020,4893,PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA,4893,PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA,2020-08-14,185.0,1,A_EMPENHAR
187,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,2020-08-14,130.0,1,A_EMPENHAR
186,2020,96,COORDENAÇÃO DO CURSO ENGENHARIA MECÂNICA,96,COORDENAÇÃO DO CURSO ENGENHARIA MECÂNICA,2020-12-08,215.0,1,AGUARDANDO_AUTORIZACAO_SAE
185,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-10-08,150.0,1,LIQUIDADA
184,2020,73,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO,9269,PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG,2020-10-08,150.0,1,LIQUIDADA
183,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,9203,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - FPG,2020-10-08,198.0,1,LIQUIDADA
182,2020,248,PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS (PROAE),4656,GESTÃO DE CONTRATOS,2020-06-08,150.0,1,FINALIZADA
181,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,9203,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - FPG,2020-05-08,198.0,1,LIQUIDADA
180,2020,10133,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA REABILITAÇÃO - FPG,10133,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA REABILITAÇÃO - FPG,2020-04-08,179.0,1,LIQUIDADA
179,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,2020-04-08,240.0,1,LIQUIDADA
178,2020,102,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO,9205,PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO - FPG,2020-04-08,130.0,1,LIQUIDADA
177,2020,9242,PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG,9242,PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG,2020-07-30,370.0,2,LIQUIDADA
176,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,9203,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - FPG,2020-07-29,198.0,1,LIQUIDADA
175,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,9203,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - FPG,2020-07-29,198.0,1,LIQUIDADA
174,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,9203,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - FPG,2020-07-29,198.0,1,LIQUIDADA
173,2020,74,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO,9203,PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO - FPG,2020-07-29,198.0,1,LIQUIDADA
