ano,id_unidade,natureza_despesa,valor,sigla
2000,351,LOC. MÃO-DE-OBRA,8013.05,EAJ
2000,439,CUSTEIO,2253.98,CCET
2000,445,CUSTEIO,2000.0,CT
2001,205,AUX. FINANCEIRO ESTUDANTE,3480.0,ES/UFRN
2001,205,CONTRIBUICOES,900.07,ES/UFRN
2001,205,DIÁRIAS,7000.0,ES/UFRN
2001,205,EQUIP. MATERIAL PERMANENTE,410.0,ES/UFRN
2001,205,LOC. MÃO-DE-OBRA,5118.22,ES/UFRN
2001,205,MATERIAL DE CONSUMO,2637.34,ES/UFRN
2001,205,PASSAGENS,3000.0,ES/UFRN
2001,205,SERV. PESSOA JURÍDICA,8204.0,ES/UFRN
2001,284,AUX. FINANCEIRO ESTUDANTE,26500.0,EMUFRN
2001,284,CONTRIBUICOES,900.08,EMUFRN
2001,284,DIÁRIAS,3100.0,EMUFRN
2001,284,EQUIP. MATERIAL PERMANENTE,23222.11,EMUFRN
2001,284,MATERIAL DE CONSUMO,7132.8,EMUFRN
2001,284,OBRIGAÇÕES CONTRIBUTIVAS,843.66,EMUFRN
2001,284,PASSAGENS,10000.0,EMUFRN
2001,284,SERV. PESSOA FÍSICA,4218.32,EMUFRN
2001,284,SERV. PESSOA JURÍDICA,62776.7,EMUFRN
2001,351,AUX. FINANCEIRO ESTUDANTE,29838.0,EAJ
2001,351,CONTRIBUICOES,900.22,EAJ
2001,351,DIÁRIAS,10784.76,EAJ
2001,351,EQUIP. MATERIAL PERMANENTE,30945.2,EAJ
2001,351,LOC. MÃO-DE-OBRA,88849.3,EAJ
2001,351,MATERIAL DE CONSUMO,264616.27,EAJ
2001,351,PASSAGENS,10873.61,EAJ
2001,351,SERV. PESSOA JURÍDICA,68852.06,EAJ
2001,439,AUX. FINANCEIRO ESTUDANTE,5060.0,CCET
2001,439,LOC. MÃO-DE-OBRA,12001.77,CCET
2001,439,MATERIAL DE CONSUMO,1104.87,CCET
2001,439,SERV. PESSOA JURÍDICA,4227.39,CCET
2001,440,AUX. FINANCEIRO ESTUDANTE,3180.0,CB
2001,440,EQUIP. MATERIAL PERMANENTE,3748.5,CB
2001,440,LOC. MÃO-DE-OBRA,11739.22,CB
2001,440,MATERIAL DE CONSUMO,3128.93,CB
2001,440,SERV. PESSOA JURÍDICA,3867.26,CB
2001,441,AUX. FINANCEIRO ESTUDANTE,4285.0,CCS
2001,441,MATERIAL DE CONSUMO,9577.32,CCS
2001,441,SERV. PESSOA JURÍDICA,5655.82,CCS
2001,442,AUX. FINANCEIRO ESTUDANTE,5988.0,CCHLA
2001,442,EQUIP. MATERIAL PERMANENTE,4196.66,CCHLA
2001,442,LOC. MÃO-DE-OBRA,5032.11,CCHLA
2001,442,MATERIAL DE CONSUMO,28031.28,CCHLA
2001,442,SERV. PESSOA JURÍDICA,15630.34,CCHLA
2001,443,AUX. FINANCEIRO ESTUDANTE,10671.8,CCSA
2001,443,MATERIAL DE CONSUMO,2735.67,CCSA
2001,443,SERV. PESSOA JURÍDICA,3155.6,CCSA
2001,445,AUX. FINANCEIRO ESTUDANTE,14236.0,CT
2001,445,LOC. MÃO-DE-OBRA,5460.02,CT
2001,445,MATERIAL DE CONSUMO,6279.92,CT
2001,445,PASSAGENS,145.38,CT
2001,445,SERV. PESSOA JURÍDICA,3083.11,CT
2001,1482,AUX. FINANCEIRO ESTUDANTE,480.0,CERES
2001,1482,EQUIP. MATERIAL PERMANENTE,3415.0,CERES
2001,1482,LOC. MÃO-DE-OBRA,2905.29,CERES
2001,1482,MATERIAL DE CONSUMO,863.74,CERES
2001,1482,SERV. PESSOA JURÍDICA,10232.13,CERES
2002,205,AUX. FINANCEIRO ESTUDANTE,3480.0,ES/UFRN
