id_unidade,unidade,natureza_despesa,ano,valor
445,CENTRO DE TECNOLOGIA,SERV. PESSOA JURÍDICA,2018,288.0
205,ESCOLA DE SAÚDE,SERV. PESSOA FÍSICA,2018,513.5
30257,CAPACITAÇÃO DE ESTUDANTES E PROFISSIONAIS DA ÁREA DA SAÚDE NOS SERVIÇOS PÚBLICOS E PRIVADOS DE NATAL E ESTADO DO RIO GRANDE DO NORTE PARA REALIZAÇÃO DO TESTE DO CORAÇÃOZINHO,DIÁRIAS,2009,0.0
439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,CUSTEIO,2000,253.98
445,CENTRO DE TECNOLOGIA,CUSTEIO,2000,0.0
338,HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO,MATERIAL DE CONSUMO,2000,192.5
2454,HUOL - SERVIÇO DE CONTROLE PATRIMONIAL,EQUIP. MATERIAL PERMANENTE,2000,975.0
252,NUCLEO DE PESQUISA EM ALIMENTOS E MEDICAMENTOS,MATERIAL DE CONSUMO,2000,166.0
251,PROAE - COORDENADORIA DO SISTEMA DE RESTAURANTES UNIVERSITÁRIOS,MATERIAL DE CONSUMO,2000,33.32
1422,PRÓ-REITORIA DE ADMINISTRAÇÃO (PROAD),AUX. FINANCEIRO ESTUDANTE,2000,300.0
1458,RESERVA TÉCNICA,PASSAGENS,2000,156.62
1457,ACERVO BIBLIOGRÁFICO,EQUIP. MATERIAL PERMANENTE,2001,795.53
21,BIBLIOTECA CENTRAL ZILA MAMEDE,OBRIGAÇÕES CONTRIBUTIVAS,2001,130.0
21,BIBLIOTECA CENTRAL ZILA MAMEDE,LOC. MÃO-DE-OBRA,2001,452.83
21,BIBLIOTECA CENTRAL ZILA MAMEDE,MATERIAL DE CONSUMO,2001,994.55
21,BIBLIOTECA CENTRAL ZILA MAMEDE,PASSAGENS,2001,142.0
21,BIBLIOTECA CENTRAL ZILA MAMEDE,SERV. PESSOA JURÍDICA,2001,541.79
440,CENTRO DE BIOCIÊNCIAS,LOC. MÃO-DE-OBRA,2001,739.22
440,CENTRO DE BIOCIÊNCIAS,EQUIP. MATERIAL PERMANENTE,2001,748.5
440,CENTRO DE BIOCIÊNCIAS,MATERIAL DE CONSUMO,2001,128.93
440,CENTRO DE BIOCIÊNCIAS,AUX. FINANCEIRO ESTUDANTE,2001,180.0
440,CENTRO DE BIOCIÊNCIAS,SERV. PESSOA JURÍDICA,2001,867.26
441,CENTRO DE CIÊNCIAS DA SAÚDE,MATERIAL DE CONSUMO,2001,577.32
441,CENTRO DE CIÊNCIAS DA SAÚDE,SERV. PESSOA JURÍDICA,2001,655.82
441,CENTRO DE CIÊNCIAS DA SAÚDE,AUX. FINANCEIRO ESTUDANTE,2001,285.0
439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,LOC. MÃO-DE-OBRA,2001,1.77
439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,SERV. PESSOA JURÍDICA,2001,227.39
439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,AUX. FINANCEIRO ESTUDANTE,2001,60.0
439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,MATERIAL DE CONSUMO,2001,104.87
442,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",SERV. PESSOA JURÍDICA,2001,630.34
442,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",LOC. MÃO-DE-OBRA,2001,32.11
442,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",AUX. FINANCEIRO ESTUDANTE,2001,988.0
442,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",EQUIP. MATERIAL PERMANENTE,2001,196.66
442,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",MATERIAL DE CONSUMO,2001,31.28
443,CENTRO DE CIÊNCIAS SOCIAIS APLICADAS,AUX. FINANCEIRO ESTUDANTE,2001,671.8
443,CENTRO DE CIÊNCIAS SOCIAIS APLICADAS,MATERIAL DE CONSUMO,2001,735.67
443,CENTRO DE CIÊNCIAS SOCIAIS APLICADAS,SERV. PESSOA JURÍDICA,2001,155.6
1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,LOC. MÃO-DE-OBRA,2001,905.29
1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,AUX. FINANCEIRO ESTUDANTE,2001,480.0
1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,MATERIAL DE CONSUMO,2001,863.74
1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,EQUIP. MATERIAL PERMANENTE,2001,415.0
1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,SERV. PESSOA JURÍDICA,2001,232.13
445,CENTRO DE TECNOLOGIA,LOC. MÃO-DE-OBRA,2001,460.02
445,CENTRO DE TECNOLOGIA,AUX. FINANCEIRO ESTUDANTE,2001,236.0
445,CENTRO DE TECNOLOGIA,PASSAGENS,2001,145.38
445,CENTRO DE TECNOLOGIA,MATERIAL DE CONSUMO,2001,279.92
445,CENTRO DE TECNOLOGIA,SERV. PESSOA JURÍDICA,2001,83.11
1477,CIENTEC,SERV. PESSOA JURÍDICA,2001,127.5
1477,CIENTEC,MATERIAL DE CONSUMO,2001,255.9
1477,CIENTEC,OBRIGAÇÕES CONTRIBUTIVAS,2001,239.2
1477,CIENTEC,SERV. PESSOA FÍSICA,2001,196.0
1453,COMISSÃO DE ENERGIA ELÉTRICA,MATERIAL DE CONSUMO,2001,227.2
1453,COMISSÃO DE ENERGIA ELÉTRICA,SERV. PESSOA JURÍDICA,2001,425.0
1453,COMISSÃO DE ENERGIA ELÉTRICA,PASSAGENS,2001,791.73
326,COMPLEXO HOSPITALAR E DE SAÚDE,DIÁRIAS,2001,0.0
326,COMPLEXO HOSPITALAR E DE SAÚDE,MATERIAL DE CONSUMO,2001,178.6
326,COMPLEXO HOSPITALAR E DE SAÚDE,AUX. FINANCEIRO ESTUDANTE,2001,120.0
326,COMPLEXO HOSPITALAR E DE SAÚDE,SERV. PESSOA JURÍDICA,2001,773.0
1450,CRUTAC,LOC. MÃO-DE-OBRA,2001,451.96
1450,CRUTAC,MATERIAL DE CONSUMO,2001,176.69
1450,CRUTAC,SERV. PESSOA JURÍDICA,2001,836.79
1475,DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR,SERV. PESSOA JURÍDICA,2001,334.5
1475,DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR,MATERIAL DE CONSUMO,2001,246.56
1423,DIRETORIA DE LOGÍSTICA - PROAD,SERV. PESSOA JURÍDICA,2001,755.0
283,EDITORA UNIVERSITÁRIA,MATERIAL DE CONSUMO,2001,200.14
283,EDITORA UNIVERSITÁRIA,LOC. MÃO-DE-OBRA,2001,725.98
283,EDITORA UNIVERSITÁRIA,SERV. PESSOA JURÍDICA,2001,451.47
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,LOC. MÃO-DE-OBRA,2001,849.3
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,SERV. PESSOA JURÍDICA,2001,852.06
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,DIÁRIAS,2001,784.76
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,CONTRIBUICOES,2001,900.22
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,EQUIP. MATERIAL PERMANENTE,2001,945.2
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,PASSAGENS,2001,873.61
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,AUX. FINANCEIRO ESTUDANTE,2001,838.0
351,ESCOLA AGRÍCOLA DE JUNDIAÍ,MATERIAL DE CONSUMO,2001,616.27
284,ESCOLA DE MÚSICA,MATERIAL DE CONSUMO,2001,132.8
284,ESCOLA DE MÚSICA,PASSAGENS,2001,0.0
284,ESCOLA DE MÚSICA,OBRIGAÇÕES CONTRIBUTIVAS,2001,843.66
284,ESCOLA DE MÚSICA,SERV. PESSOA FÍSICA,2001,218.32
284,ESCOLA DE MÚSICA,SERV. PESSOA JURÍDICA,2001,776.7
284,ESCOLA DE MÚSICA,EQUIP. MATERIAL PERMANENTE,2001,222.11
284,ESCOLA DE MÚSICA,DIÁRIAS,2001,100.0
284,ESCOLA DE MÚSICA,CONTRIBUICOES,2001,900.08
284,ESCOLA DE MÚSICA,AUX. FINANCEIRO ESTUDANTE,2001,500.0
205,ESCOLA DE SAÚDE,LOC. MÃO-DE-OBRA,2001,118.22
205,ESCOLA DE SAÚDE,CONTRIBUICOES,2001,900.07
205,ESCOLA DE SAÚDE,DIÁRIAS,2001,0.0
205,ESCOLA DE SAÚDE,SERV. PESSOA JURÍDICA,2001,204.0
205,ESCOLA DE SAÚDE,PASSAGENS,2001,0.0
205,ESCOLA DE SAÚDE,EQUIP. MATERIAL PERMANENTE,2001,410.0
205,ESCOLA DE SAÚDE,AUX. FINANCEIRO ESTUDANTE,2001,480.0
205,ESCOLA DE SAÚDE,MATERIAL DE CONSUMO,2001,637.34
1456,FUNDO DE EXTENSÃO,SERV. PESSOA JURÍDICA,2001,499.0
1456,FUNDO DE EXTENSÃO,SERV. PESSOA FÍSICA,2001,316.67
1456,FUNDO DE EXTENSÃO,OBRIGAÇÕES CONTRIBUTIVAS,2001,83.33
1456,FUNDO DE EXTENSÃO,AUX. FINANCEIRO ESTUDANTE,2001,0.0
1468,FUNDO DE GRADUAÇÃO,SERV. PESSOA FÍSICA,2001,685.2
1468,FUNDO DE GRADUAÇÃO,PASSAGENS,2001,0.0
1468,FUNDO DE GRADUAÇÃO,SERV. PESSOA JURÍDICA,2001,774.19
1468,FUNDO DE GRADUAÇÃO,DIÁRIAS,2001,0.0
1468,FUNDO DE GRADUAÇÃO,OBRIGAÇÕES CONTRIBUTIVAS,2001,227.6
1455,FUNDO DE PESQUISA,SERV. PESSOA JURÍDICA,2001,345.0
1455,FUNDO DE PESQUISA,AUX. FINANCEIRO ESTUDANTE,2001,550.0
1454,FUNDO DE PÓS-GRADUAÇÃO,SERV. PESSOA FÍSICA,2001,0.0
1454,FUNDO DE PÓS-GRADUAÇÃO,OBRIGAÇÕES CONTRIBUTIVAS,2001,0.0
1454,FUNDO DE PÓS-GRADUAÇÃO,PASSAGENS,2001,530.53
1454,FUNDO DE PÓS-GRADUAÇÃO,MATERIAL DE CONSUMO,2001,270.08
