id_grupo_pesquisa,codigo,base_pesquisa,home_page,id_coordenador,coordenador,area_conhecimento_cnpq,situacao
117638784,GEN507-19,"Ação, mediação e transformação - Metodologias ativas da Educação Básica ao Ensino Superior",Sem home page,5755991,FLAVIO BOLEIZ JUNIOR,Educação,EM CONSOLIDACÃO
104369502,GEC385-15,ACEFALO (Agenciamento Coletivo de Estudos em Filosofia da Arte e da Literatura),Sem home page,5752753,EDUARDO ANIBAL PELLEJERO,Filosofia,EM CONSOLIDACÃO
2624457,GED239-10,Ações promocionais e de atenção a grupos humanos em Saúde Mental e Saúde Coletiva,Sem home page,21986,FRANCISCO ARNOLDO NUNES DE MIRANDA,Enfermagem,CONSOLIDADO
109,GCG111-04,AGROECOLOGIA E DESENVOLVIMENTO SUSTENTÁVEL NO SEMIÁRIDO (CAATINGUEIROS),Sem home page,5753095,REBECCA LUNA LUCENA,Zootecnia,CONSOLIDADO
107,GCD109-01,"ALIMENTOS, NUTRIÇÃO E SAÚDE",Sem home page,26173,KARINE CAVALCANTI MAURICIO DE SENA EVANGELISTA,Nutrição,CONSOLIDADO
90843219,GEA282-12,"Alterações morfológicas, modulação farmacêutica e nanomedicina",Sem home page,2260569,RAIMUNDO FERNANDES DE ARAUJO JUNIOR,Morfologia,CONSOLIDADO
117164669,GEE404-16,"Ambiente, Turismo e Sustentabilidade",Sem home page,5751848,KETTRIN FARIAS BEM MARACAJA,Turismo,EM CONSOLIDACÃO
116503006,GEB505-19,Análise Funcional,Sem home page,26132,MARCELO GOMES PEREIRA,Matemática,EM CONSOLIDACÃO
132147585,GEB531-19,ANÁLISE MATEMÁTICA: SOB A PERSPECTIVA DA EDUCAÇÃO MATEMÁTICA,Sem home page,5755416,JAQUES SILVEIRA LOPES,Métodos e Técnicas de Ensino,EM CONSOLIDACÃO
56,GCC055-05,Análise textual dos discursos em Educação,Sem home page,15562,JOAO GOMES DA SILVA NETO,"Linguística, Letras e Artes",CONSOLIDADO
50801233,GEI251-10,Aquicultura Sustentável Nordeste - AquiS - NE,Sem home page,5752882,DÁRLIO INÁCIO ALVES TEIXEIRA,Ciências Agrárias,CONSOLIDADO
127869335,GEN520-19,Arte e Infância,Sem home page,23115,GILVANIA MAURICIO DIAS DE PONTES,Métodos e Técnicas de Ensino,EM CONSOLIDACÃO
74,GCB074-90,ASTROFÍSICA E COSMOLOGIA,Sem home page,64310,JOSE DIAS DO NASCIMENTO JUNIOR,Astronomia,CONSOLIDADO
84685637,GED258-11,"Atenção à Saúde Infanto Juvenil, Mulher e Homem",Sem home page,3029409,NILBA LIMA DE SOUZA,Enfermagem,CONSOLIDADO
105,GCD107-01,ATENÇÃO INTEGRAL À SAÚDE DA CRIANÇA E DO ADOLESCENTE,Sem home page,23117,HELCIO DE SOUSA MARANHAO,Medicina,CONSOLIDADO
