id_unidade,codigo,nome_unidade,sigla,municipio,id_unidade_gestora,unidade_gestora,id_unidade_responsavel,unidade_responsavel,hierarquia,data_criacao,classificacao_unidade,nivel_organizacional,ambiente_organizacional_unidade,tipo_unidade_organizacional,area_atuacao_unidade
3810,21240301,ABASTECIMENTO FARMACEUTICO,AF/HUOL,NATAL,446,HOSPITAL UNIVERSITARIO ONOFRE LOPES,3806,HUOL - SETOR DE FARMACIA,.605.446.416.1677.3806.3810.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,SETOR                                                       ,FIM
8190,151941,ACOLHIMENTO E TRIAGEM DE PACIENTES,ACOTRIP,NATAL,441,CENTRO DE CIENCIAS DA SAUDE,195,DEPARTAMENTO DE ODONTOLOGIA,.441.195.8190.,02/01/2014,ACADÊMICA,OPERACIONAL,CIÊNCIAS DA SAÚDE                                 ,SETOR                                                       ,FIM
8772,11322903,ADMINISTRACAO DA ESCOLA MULTICAMPI DE CIENCIAS MEDICAS DO RN,ADMIN/EMCM-RN,CAICÓ,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,7278,ESCOLA MULTICAMPI DE CIENCIAS MEDICAS DO RIO GRANDE DO NORTE,.605.262.7278.8772.,01/01/2013,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
176,1701,ADMINISTRACAO DO CB,ADM/CB,NATAL,440,CENTRO DE BIOCIENCIAS,440,CENTRO DE BIOCIENCIAS,.440.176.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,CENTRO                                                      ,MEIO
119,1201,ADMINISTRACAO DO CCET,ADM/CCET,NATAL,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,439,CENTRO DE CIENCIAS EXATAS E DA TERRA,.439.119.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,CENTRO                                                      ,MEIO
389,1532,ADMINISTRACAO DO CENTRO DE CIENCIAS DA SAUDE,ADM/CCS,NATAL,441,CENTRO DE CIENCIAS DA SAUDE,441,CENTRO DE CIENCIAS DA SAUDE,.441.389.,24/06/1974,ADMINISTRATIVA,OPERACIONAL,ADMINISTRATIVO                                    ,CENTRO                                                      ,MEIO
5966,1901,ADMINISTRACAO DO CENTRO DE EDUCACAO,ADMIN CE,NATAL,5965,CENTRO DE EDUCACAO,5965,CENTRO DE EDUCACAO,.5965.5966.,01/05/2011,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
61,1804,ADMINISTRACAO DO CERES - CAICO,CERES/CAICO,CAICÓ,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,.1482.61.,24/06/1974,ADMINISTRATIVA,ESTRATÉGICO,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
62,1806,ADMINISTRACAO DO CERES - CURRAIS NOVOS,CERES/CN,CURRAIS NOVOS,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDO,.1482.62.,01/01/2007,ADMINISTRATIVA,ESTRATÉGICO,ADMINISTRATIVO                                    ,SETOR                                                       ,MEIO
10552,190501,ADMINISTRACAO DO NEI,ADMIN/NEI,NATAL,5965,CENTRO DE EDUCACAO,1452,NUCLEO DE EDUCACAO DA INFANCIA,.5965.1452.10552.,20/02/2017,ACADÊMICA,ESTRATÉGICO,ADMINISTRATIVO                                    ,ASSESSORIA                                                  ,FIM
